タイトル,作者名,時代,漢詩本文,和訳,解説
渭川田家,王維,唐,"斜陽照墟落，窮巷牛羊帰。
野老念牧童，倚杖候荊扉。
雉雊麦苗秀，蚕眠桑葉稀。
田夫荷鋤至，相見語依依。
即此羨閑逸，悵然吟式微。","夕日が村落を照らし、村の奥の小道から牛や羊が帰ってくる。
村の老人は牛飼いの子供を気遣い、杖によりかかりながら柴の門で待っている。
キジが鳴いて麦の苗が育ち、蚕が眠りについて桑の葉は少なくなっている。
農夫が鋤を担いで帰ってきて、お互いに顔を合わせて親しげに語り合っている。
この平和で静かな光景を見て、私はそののんびりとした生活を羨み、やるせない思いで「式微（早く帰ろう）」の詩を口ずさむのだ。",王维田园诗的代表作之一。诗中描绘了一幅极其安详宁静的晚归图，流露出诗人对这种极其朴素、极其温暖的田园生活的深切向往，以及对自己久居官场的厌倦。
夢遊天姥吟留別（節選）,李白,唐,"（前略）
青冥浩蕩不見底，日月照耀金銀台。
霓為衣兮風為馬，雲之君兮紛紛而来下。
虎鼓瑟兮鸞回車，仙之人兮列如麻。
忽魂悸以魄動，恍驚起而長嗟。
惟覚時之枕席，失向来之煙霞。
世間行楽亦如此，古来万事東流水。
別君去兮何時還？且放白鹿青崖間，須行即騎訪名山。
安能摧眉折腰事権貴，使我不得開心顔！","（中略）青空は果てしなく広がり底も見えず、日月が金銀の宮殿を照らしている。
虹を衣とし風を馬として、雲の神々が次々と降りてくる。
虎が琴を弾き鸞鳥が車を引き、仙人たちが麻のようにズラリと並んでいる。
ふと魂が震えて驚き目覚め、長くため息をつく。
ただ目覚めた時の枕とむしろがあるだけで、先ほどまでの煙る霞の世界は消え失せてしまった。
この世の行楽もこれと同じようなものだ。古来、万事は東へ流れる水のように去っていく。
君と別れて旅立つが、いつ帰るかは分からない。しばらくは白鹿を青々とした崖の間に放っておき、行きたくなったらそれに乗って名山を訪ねよう。
どうして眉を伏せ腰を折って権力者に仕え、私の心を不愉快にさせることができようか！",李白极其著名的梦游诗。全诗通过极其奇丽、极其瑰丽的神仙世界的描写，反衬出现实世界的污浊。结尾的“安能摧眉折腰事权贵”是李白傲骨的极致体现，震撼千古。
石壕吏,杜甫,唐,"暮投石壕村，有吏夜捉人。
老翁逾墻走，老婦出門看。
吏呼一何怒！婦啼一何苦！
聴婦前致詞：三男鄴城戍。
一男附書至，二男新戦死。
存者且偸生，死者長已矣！
室中更無人，惟有乳下孫。
有孫母未去，出入無完裙。
老嫗力雖衰，請従吏夜帰，急応河陽役，猶得備晨炊。
夜久語声絶，如聞泣幽咽。
天明登前途，独与老翁別。","夕暮れに石壕村に宿をとると、役人が夜に人を捕まえに来た。
お爺さんは塀を越えて逃げ、お婆さんが門を出て応対した。
役人の怒鳴り声のなんと怒り狂っていることか！お婆さんの泣き声のなんと苦しげなことか！
お婆さんが前に進み出て言うのを聞いた。「三人の息子は鄴城の守備に出ています。
一人の息子から手紙が届き、二人の息子は先ごろ戦死したとのことです。
生きている者もどうにか命をつないでいるだけで、死んだ者はもうそれまでです。
家の中にはもう誰もおりません。ただ乳飲み子の孫がいるだけです。
孫がいるのでその母親も去ることができず、出入りするためのまともな着物すらありません。
私めは力も衰えておりますが、どうか役人様と一緒に夜道をついて行き、急ぎ河陽の役務に就かせてください。朝ご飯の準備くらいならできるでしょうから。」
夜も更けて話し声は途絶えたが、かすかにむせび泣く声が聞こえるようだった。
夜明けに次の旅路へと出発する時、私は（戻ってきた）お爺さんただ一人に別れを告げたのだ。",杜甫“三吏”之一。诗人以极其客观、极其冷静的白描手法，如实记录了差役深夜强行抓丁的凄惨一幕，没有任何主观议论，却将战争给百姓带来的极其深重的苦难刻画得极其刺痛人心。
銭塘湖春行,白居易,唐,"孤山寺北賈亭西，水面初平雲脚低。
幾処早鸎争暖樹，誰家新燕啄春泥。
乱花漸欲迷人眼，浅草才能没馬蹄。
最愛湖東行不足，緑楊陰裏白沙堤。","孤山寺の北、賈亭の西のあたり。湖の水面は春の雨で平らになり、雲の端が低く垂れ込めている。
あちこちで早くもウグイスが日当たりの良い木を争うように飛び交い、どこかの家の新しいツバメが巣作りのための春の泥をくわえている。
色とりどりの花が少しずつ咲き乱れて人の目を迷わせようとし、浅い草は馬の蹄をようやく覆うほどの長さだ。
私が一番愛してやまないのは湖の東を歩くことだ。緑の柳の木陰の中にある、あの白沙の堤（白堤）の景色を。",这是一首极其优美的早春风景诗。白居易通过“争暖树”“啄春泥”“没马蹄”等极其生动逼真的细节，将西湖早春那种生机盎然、极其活泼明快的景象写得极其传神。
秋夕,杜牧,唐,"銀燭秋光冷画屏，軽羅小扇撲流蛍。
天階夜色涼如水，坐看牽牛織女星。","銀の蝋燭が秋の光を放ち、描かれた屏風を冷たく照らしている。薄絹の小さな扇で、飛び交う蛍をそっと叩く。
宮殿の階段に夜の気配が満ち、水のように涼しい。ただ一人座って、天空の牽牛星と織女星を眺めているのだ。",这首诗极其细腻地描绘了失宠宫女在秋夜中的孤独境遇。“凉如水”不仅写出了秋夜的清寒，更暗示了宫女内心的极其凄凉与哀怨，意境极其幽美哀婉。
登楽游原,李商隠,唐,"向晩意不適，駆車登古原。
夕陽無限好，只是近黄昏。","夕暮れどき、心が晴れないので車を走らせて古い丘（楽遊原）に登った。
夕陽は限りなく素晴らしいが、ただ黄昏が近づいているのが惜しまれる。",这首诗极其简短却蕴含着极其深邃的人生哲理。“夕阳无限好，只是近黄昏”既是对极其壮美而短暂的自然景色的赞叹，也隐喻了对大唐帝国走向衰落的极其深沉的无奈与感伤。
蝶恋花,晏殊,北宋,"檻菊愁煙蘭泣露，羅幕軽寒，燕子双飛去。
明月不諳離恨苦，斜光到暁穿朱戸。

昨夜西風凋碧樹，独上高楼，望尽天涯路。
欲寄彩箋兼尺素，山長水闊知何処？","垣根の菊はもやに包まれて愁い、蘭は露を帯びて泣いているようだ。絹の幕に軽い寒さを感じ、燕は二羽連れ立って飛んで行ってしまった。
明月は離別を恨む心の苦しみなど分からないのだろう、斜めの光が夜明けまで赤い戸を通り抜けてくる。
昨夜の西風（秋風）が緑の木々を散らしてしまった。私は一人で高い楼閣に登り、天の果てまで続く道をじっと見つめ尽くす。
美しい手紙や手紙を相手に送ろうとするが、山は長く連なり水は広く隔たり、あなたがどこにいるのかも分からないのだ。",晏殊的代表作之一。词中“独上高楼，望尽天涯路”被王国维在《人间词话》中评为做学问、成大事业的第一种境界，意境极其极其高远，悲凉中透着一种极其开阔的孤独。
臨江仙,晏幾道,北宋,"夢後楼台高鎖，酒醒簾幕低垂。
去年春恨却来時。
落花人独立，微雨燕双飛。

記得小蘋初見，両重心字羅衣。
琵琶弦上説相思。
当時明月在，曾照彩雲帰。","夢から覚めると楼閣は高く閉ざされ、酒から覚めるとすだれや幕が低く垂れ下がっている。
去年の春に感じたあの別れの恨みが、またこの季節にやって来た。
花が散る中、私は一人ぽつんと立ち尽くし、小雨が降る中を燕が二羽連れ立って飛んでいく。
思い出すのは、小蘋（しょうひん、歌姫）と初めて会った時のこと。彼女は二つの「心」の字が重なった美しい絹の着物を着ていた。
琵琶の弦に乗せて、私への相思の情を語ってくれた。
あの時と同じ明るい月が今も空にある。かつてその月は、色鮮やかな雲のような彼女が帰っていく姿を照らしていたのだ。",小晏的极其凄美的爱情名篇。“落花人独立，微雨燕双飞”运用了极其强烈的对比，以成双成对的燕子反衬孤独独立的人，意境极其绝美、伤感，是婉约词的巅峰之句。
蝶恋花・春景,蘇軾,北宋,"花褪残紅青杏小。燕子飛時，緑水人家繞。
枝上柳綿吹又少，天涯何処無芳草。

墻裏秋千墻外道。墻外行人，墻裏佳人笑。
笑漸不聞声漸悄，多情却被無情悩。","花は残りの紅を褪せさせ、青い杏の実はまだ小さい。燕が飛ぶ頃、緑の川の水が人家の周りを巡っている。
枝の上の柳の綿も風に吹かれて少なくなったが、天の果てのどこに芳しい草がないことがあろうか（どこにでも春は巡ってくる）。
塀の内側にはブランコがあり、塀の外側には道がある。外の道を行く旅人の耳に、塀の内側にいる美しい女性の笑い声が聞こえてきた。
やがてその笑い声も聞こえなくなり、声は静まった。多情な旅人は、無情な（こちらの思いなど知らない）女性に心を悩まされてしまったのだ。",这首词极其生动地描绘了暮春的景色与一段偶然的情感波澜。“天涯何处无芳草”极其旷达，“多情却被无情恼”又极其细腻巧妙，展现了苏轼极其丰富的内心世界。
武陵春,李清照,南宋,"風住塵香花已尽，日晩倦梳頭。
物是人非事事休，欲語涙先流。

聞説双溪春尚好，也擬泛軽舟。
只恐双溪舴艋舟，載不動許多愁。","風は止み、散った花が土に混じって香っている。日も暮れてきたが、髪をとかす気力すらない。
景色は昔のままだが人はもうおらず、何事も終わってしまった。言葉を発しようとすれば、先に涙が流れてくる。
双渓の春の景色はまだ素晴らしいと聞いたので、私も小舟を浮かべてみようかと思う。
ただ恐ろしいのは、あの双渓の小さなバッタのような小舟では、私のこのありったけの愁いを載せきれないのではないかということだ。",李清照晚年极其极其悲痛的词作。词中将无形的极其沉重的“愁”物化，说它重得连船都载不动，想象极其极其奇特，将亡国丧夫的极其深重的悲痛表达得淋漓尽致。
十一月四日風雨大作,陸游,南宋,"僵卧孤村不自哀，尚思為国戍輪台。
夜闌臥聴風吹雨，鉄馬冰河入夢来。","冷たい孤村に硬直して横たわっているが、我が身を哀れむことはない。今でも国のために輪台（辺境）の守備に就きたいと思っている。
夜が更けて、床に横たわったまま風が雨を吹き付ける音を聞いていると、鎧を着た軍馬が凍った川を渡って突撃する様が、私の夢の中に入ってくるのだ。",陆游六十八岁极其极其震撼人心的爱国名篇。诗中将现实中的极其凄凉的自然风雨，与梦境中极其极其悲壮的战斗风雨完美结合，极其极其强烈地抒发了老将虽老，壮心不已的爱国激情。
丑奴児・書博山道中壁,辛棄疾,南宋,"少年不識愁滋味，愛上層楼。
愛上層楼，為賦新詞強説愁。

而今識尽愁滋味，欲説還休。
欲説還休，却道天涼好個秋。","若い頃は本当の愁いの味など知らず、高い楼閣に登るのが好きだった。
高い楼閣に登っては、新しい詞を作るために、無理やり愁いがあるかのように語っていたものだ。
しかし今、私は本当の愁いの味を知り尽くしてしまった。そのことを語ろうとして、やはりやめてしまう。
語ろうとしてやめてしまい、かわりにこう言うのだ。「涼しくて、実に良い秋ですね」と。",辛弃疾极其深刻的人生哲理词。通过少年时“强说愁”与如今“识尽愁”却“欲说还休”的极其强烈的对比，极其极其含蓄而沉痛地表达了报国无门、壮志难酬的极其极其深重的政治苦闷。
迢迢牽牛星,佚名,漢,"迢迢牽牛星，皎皎河漢女。
繊繊擢素手，札札弄機杼。
終日不成章，泣涕零如雨。
河漢清且浅，相去復幾許。
盈盈一水間，脈脈不得語。","はるか遠くに輝く牽牛星と、白く輝く織女星。
彼女は白く細い手を伸ばし、機織りの音を響かせている。
しかし一日中織っても布は出来上がらず、涙が雨のようにこぼれ落ちる。
天の川は清らかで浅く、二人の距離はどれほど離れているというのか。
水が満ちる一筋の川を隔てて、じっと見つめ合うだけで言葉を交わすこともできない。",《古诗十九首》之一。借牛郎织女的神话传说，极其细腻、凄美地描写了人间相爱却不能相聚的思妇的哀怨之情。语言质朴洗练，情感深挚动人。
帰園田居・其一,陶淵明,東晋,"少無適俗韻，性本愛丘山。
誤落塵網中，一去三十年。
（中略）
戸庭無塵雑，虚室有余閑。
久在樊籠裏，復得返自然。","若い頃から世間の俗習には馴染めず、生まれつき自然の山野を愛する性格だった。
それなのに誤って役人という塵の網に落ち込んでしまい、気がつけば三十年が経っていた。
（中略）庭には世俗の煩わしさはなく、何もない部屋にはゆったりとした時間が流れている。
長い間、鳥かごの中に閉じ込められていたが、ようやく自然のままの自分を取り戻すことができたのだ。",这是陶渊明辞官归隐初期的名作。诗中通过对黑暗官场的厌恶和对纯洁田园生活的赞美，抒发了“复得返自然”的极大喜悦与解脱感。
月下独酌,李白,唐,"花間一壺酒，独酌無相親。
挙杯邀明月，対影成三人。
月既不解飲，影徒随我身。
暫伴月将影，行楽須及春。
我歌月徘徊，我舞影零乱。
醒時同交歓，酔後各分散。
永結無情遊，相期邈雲漢。","花の中に一壺の酒を置き、親しい者もなく一人で酒を飲む。
杯を挙げて名月を招き入れ、自分の影と合わせて三人になった。
月はもともと酒を飲むことを解さず、影はただ私の体に従うだけだ。
それでも暫くは月と影を伴として、この春の夜の行楽を楽しもう。
私が歌えば月は空をさまよい、私が舞えば影は乱れ動く。
目覚めている時は共に喜びを交わし、酔った後はそれぞれに分かれていく。
感情を持たない自然の月や影と永遠の交わりを結び、はるか天の川での再会を期そう。",李白极其经典的浪漫主义名篇。诗人在孤独中展开奇特的想象，将明月和影子拟人化，结为酒友。表面写饮酒行乐，实则透露出一种极度的高洁与傲岸，孤独中透着狂放。
峨眉山月歌,李白,唐,"峨眉山月半輪秋，影入平羌江水流。
夜発清渓向三峡，思君不見下渝州。","秋の峨眉山に半輪の月がかかり、その影は平羌江の水面に映って流れている。
夜、清渓を出発して三峡へと向かう。君（月）を想うが見ることはできず、私はそのまま渝州へと下っていく。",这是李白年轻时离开蜀地所作。全诗二十八字中包含了五个地名，如行云流水般自然，将清朗的秋月与悠长的羁旅之思完美融合。
月夜,杜甫,唐,"今夜鄜州月，閨中只独看。
遥怜小児女，未解憶長安。
香霧雲鬟湿，清輝玉臂寒。
何時倚虚幌，双照涙痕乾。","今夜、鄜州（ふしゅう）に出ている月を、妻は閨（ねや）で一人見つめていることだろう。
遠くから愛おしく思うのは、幼い子供たちはまだ、長安にいる私を思い出すことも分からないだろうということだ。
夜霧で妻の美しい髪は湿り、清らかな月の光の中でその白い腕は冷えていることだろう。
いつになったら透き通ったカーテンのそばで寄り添い、二人が月に照らされながらこの涙の跡を乾かすことができるのだろうか。",安史之乱中，杜甫被困长安，思念远在鄜州的妻子而作。诗人不写自己望月思乡，而是想象妻子望月思念自己，构思极其巧妙，情真意切，感人至深。
旅夜書懐,杜甫,唐,"細草微風岸，危檣独夜舟。
星垂平野闊，月涌大江流。
名豈文章著，官応老病休。
飄飄何所似，天地一沙鴎。","細い草がそよぐ微風の岸辺、高い帆柱を立てた孤独な夜の舟。
星は広大な平野の彼方まで垂れ下がり、月は長江の雄大な流れに湧き上がるように映っている。
私の名声がどうして詩文ごときで世に知られようか、いや知られはしない。官職も老いと病のせいで辞めるべきなのだ。
風に吹かれてあてどなく漂うこの身は一体何に似ているだろうか。天地の間を孤独に飞ぶ、一羽の沙鴎（かもめ）のようなものだ。",杜甫晚年漂泊西南时所作。前四句写景，宏阔壮丽；后四句抒情，凄凉哀怨。“天地一沙鸥”极其形象地概括了诗人一生漂泊无依、孤独悲苦的命运。
長恨歌（節選）,白居易,唐,"七月七日長生殿，夜半無人私語時。
在天願作比翼鳥，在地願為連理枝。
天長地久有時尽，此恨綿綿無絶期。","七月七日、長生殿にて。夜半、誰もいない時に二人でひそかに語り合った言葉。
「天にあっては願わくは比翼の鳥となり、地にあっては願わくは連理の枝となりましょう」と。
天は長く地は久しいが、いつかは尽きる時があるだろう。しかし、この愛の悲しみと恨みだけは綿々と続き、決して絶える期（とき）はないのだ。",《长恨歌》是千古绝唱的叙事长诗，讲述了唐明皇与杨贵妃的爱情悲剧。结尾这几句高度升华了爱情的坚贞与不朽，成为中华文化中描写生死恋情的巅峰之句。
大林寺桃花,白居易,唐,"人間四月芳菲尽，山寺桃花始盛開。
長恨春帰無覓処，不知転入此中来。","俗世間（平地）の四月は花々がすっかり散ってしまったというのに、この山寺では桃の花がちょうど満開になり始めたところだ。
春が帰ってしまい、どこを探しても見つからないといつも恨めしく思っていたが、まさかこの山の中に移り住んできていたとは知らなかった。",诗人在初夏登山，意外看到满树桃花，惊喜之情跃然纸上。全诗构思巧妙，充满童趣与理趣，表现了诗人对春天的无限热爱。
酬楽天揚州初逢席上見贈,劉禹錫,唐,"巴山楚水凄涼地，二十三年棄置身。
懐旧空吟聞笛賦，到郷翻似爛柯人。
沈舟側畔千帆過，病樹前頭万木春。
今日聴君歌一曲，暫凭杯酒長精神。","巴山や楚水という凄涼とした地に、二十三年もの間捨て置かれた身であった。
亡き友を懐かしんでは空しく「聞笛賦」を吟じ、ようやく故郷に帰ってみれば、まるで「爛柯の人」のように世の中が変わってしまっていた。
しかし、沈みゆく舟のそばを数千の帆舟が通り過ぎて行き、枯れゆく病の木の前には万木の春が広がっている。
今日、君（白居易）の作ってくれた一曲を聴き、暫くはこの杯の酒に頼って気力を奮い立たせよう。",刘禹锡被贬谪二十三年后回京，在扬州与白居易相逢时所作。“沉舟侧畔千帆过，病树前头万木春”不仅表现了诗人极其豁达、坚韧的胸怀，更蕴含着新事物必将取代旧事物的深刻哲理。
錦瑟,李商隠,唐,"錦瑟無端五十弦，一弦一柱思華年。
荘生暁夢迷蝴蝶，望帝春心托杜鵑。
滄海月明珠有涙，藍田日暖玉生煙。
此情可待成追憶，只是当時已惘然。","美しい装飾の錦瑟は、どうして五十本もの弦があるのだろう。その一本の弦、一つの柱に触れるたび、美しかった青春の年月のことが思い出される。
荘子が明け方の夢で蝶になったように迷い、望帝が春の悲しい心をホトトギスに託したように。
青い海に月が明るく照る時、真珠は涙を流し、藍田の山に太陽が暖かく照る時、玉から煙が立ち昇る。
これらの情は、後になって追憶の種となるのを待つまでもなく、まさにその当時でさえすでに茫然自失とするものだったのだ。",李商隐最难解、也最凄美的名篇。全诗运用大量迷离的典故，营造出一种极其朦胧、哀婉的梦幻意境，抒发了诗人对青春易逝、怀才不遇及爱情悲剧的无尽追惘。
虞美人,李煜,五代,"春花秋月何時了？往事知多少。
小楼昨夜又東風，故国不堪回首月明中。
彫欄玉砌応猶在，只是朱顔改。
問君能有幾多愁？恰似一江春水向東流。","春の花や秋の月といった美しい景色は、一体いつになれば終わるのだろうか。過ぎ去った過去の出来事をどれほど思い出すことか。
私が幽閉されている小楼に昨夜もまた春の東風が吹いた。月の明るい光の中、滅んだ故国を振り返るのには耐えられない。
彫刻を施した欄干や大理石の階段は今も残っているだろうが、そこにいた人々の若々しい顔ぶれは変わってしまった。
君に問う、人にはどれほどの愁いがあるというのか。それはちょうど、春の水が長江を満たして東へ東へと果てしなく流れていくようなものだ。",南唐后主李煜的绝命词。词中通过对自然永恒与人事沧桑的对比，将亡国之痛表达得极其深沉和凄美。“问君能有几多愁，恰似一江春水向东流”成为千古绝唱。
念奴嬌・赤壁懐古,蘇軾,北宋,"大江東去，浪淘尽，千古風流人物。
故塁西辺，人道是，三国周郎赤壁。
乱石穿空，驚涛拍岸，巻起千堆雪。
江山如画，一時多少豪傑。

遥想公瑾当年，小喬初嫁了，雄姿英発。
羽扇綸巾，談笑間，檣櫓灰飛煙滅。
故国神游，多情応笑我，早生華髪。
人生如夢，一尊還酹江月。","長江は東へと流れ去り、その波は千古の英雄たちをすべて洗い流してしまった。
古い砦の西側、人々はここが三国時代の周瑜（周郎）が活躍した赤壁だと言う。
乱れ立つ岩は空を突き抜け、驚くような荒波が岸を叩き、千万の雪のような水しぶきを巻き上げている。
この江山は絵のように美しく、当時はどれほどの豪傑たちがここに集まったことか。
（後半略）ああ、心は昔の戦場をさまよい、多情な私は自分で自分を笑うしかない、こんなに早く白髪が生えてしまったことを。
人生は夢のようなものだ。杯の酒を長江の月に捧げて、ただ静かに飲もう。",宋代豪放词的巅峰之作。苏轼借赤壁之景，追忆周瑜的英雄业绩，再对比自己贬谪黄州的失意，在极其雄壮开阔的境界中抒发了对历史苍茫与人生虚幻的旷达感慨。
満江紅,岳飛,南宋,"怒髪衝冠，凭欄処、瀟瀟雨歇。
抬望眼，仰天長嘯，壮懐激烈。
三十功名塵与土，八千里路雲和月。
莫等閑，白了少年頭，空悲切！
待从頭、收拾旧山河，朝天闕。","怒りのあまり髪は冠を突き上げんばかりだ。欄干にもたれていると、激しい雨がやんだ。
顔を上げて目を凝らし、天を仰いで長く叫べば、壮大な志が激しく燃え上がる。
三十年かけて得た功名など塵や土のように軽いものだ。八千里を駆け抜けた陣中の日々も、雲や月が知るのみ。
無為に過ごしてはならない、少年の黒髪が白くなってからでは、空しく悲しむだけだ！
もう一度最初から失われた山河を取り戻し、天子に勝利の報告をする日を待っているのだ。",这是南宋抗金名将岳飞的代表作。全词气壮山河，慷慨悲壮，凝聚了极其强烈的爱国主义精神和誓死报国的英雄气概，激励了无数中华儿女。
一剪梅,李清照,北宋,"紅藕香残玉簟秋。軽解羅裳，独上蘭舟。
雲中誰寄錦書来，雁字回時，月満西楼。

花自飄零水自流。一種相思，両処閑愁。
此情無計可消除，才下眉頭，却上心頭。","紅い蓮の花の香りが残り、玉の敷物に秋の冷たさを感じる。そっと絹の衣を解き、一人で小舟に乗り込む。
雲の中から、誰が錦の美しい手紙を送ってくれるだろうか。雁が連なって飛んで帰る頃、月は西の楼閣を明るく照らしている。
花は自然に散り落ち、水は自然に流れていく。一つの相思の思いが、離れた二つの場所でそれぞれの愁いとなっている。
この想いを消し去る術はない。ようやく眉間のしわが消えた（諦めた）と思ったのに、またすぐに心の奥底に込み上げてくるのだ。",李清照抒发相思之苦的名篇。“才下眉头，却上心头”极其巧妙、形象地描绘了那种挥之不去、无法排遣的思念之情，是婉约词的极致表现。
青玉案・元夕,辛棄疾,南宋,"東風夜放花千樹。更吹落、星如雨。
宝馬雕車香満路。
鳳簫声動，玉壺光転，一夜魚龍舞。

蛾児雪柳黄金縷。笑語盈盈暗香去。
衆裏尋他千百度。
驀然回首，那人却在，灯火闌珊処。","春風が夜に吹き、千万の木々に花を咲かせた。さらに風は吹き、花火が星の雨のように落ちてくる。
立派な馬や彫刻された車が行き交い、道には香りが満ちている。
鳳凰の簫（笛）の音が響き、玉壺（月）が輝き、一晩中、魚や龍の舞いが続く。
着飾った女性たちが笑いさざめきながら、ほのかな香りを残して通り過ぎていく。
群衆の中で、私は「あの人」を百度も千度も探し求めた。
ふと突然振り返ると、なんとあの人は、灯りもまばらな静かな片隅に立っていたのだ。",辛弃疾通过描绘元宵佳节极其热闹繁华的景象，反衬出一个孤高脱俗、不慕荣华的女子形象（实为诗人的自我写照）。结尾“蓦然回首”更是境界极高的千古绝句。
春江花月夜,張若虚,唐,"春江潮水連海平，海上明月共潮生。
灩灩随波千万里，何処春江無月明！
江流宛転繞芳甸，月照花林皆似霰。
空裏流霜不覚飛，汀上白沙看不見。
江天一色無繊塵，皎皎空中孤月輪。
江畔何人初見月？江月何年初照人？","春の長江の潮水は海と連なって平らに満ち、海上の名月は潮の満ち引きと共に昇ってくる。
月の光は波に揺られて千万里も続き、春の長江で月の明るくない場所などどこにもない！
川はうねうねと曲がりながら花の咲く野原を巡り、月に照らされた花の林はまるで霰（あられ）をかぶったようだ。
空を流れる霜は飛んでいることにも気付かず、水際の白い砂も月光に溶け込んで見えない。
川と空は同じ色に溶け合い、塵一つない清らかさの中、真っ白な空にただ一つの丸い月が浮かんでいる。
この長江のほとりで、一体誰が最初に月を見たのだろうか。この長江の月は、一体いつの年に初めて人を照らしたのだろうか。",被闻一多先生誉为“诗中的诗，顶峰上的顶峰”。诗中将春、江、花、月、夜五种景物完美交融，并发出对宇宙无穷、人生短暂的深邃哲学叩问，极具音韵与画意之美。
雁門太守行,李賀,唐,"黒雲圧城城欲摧，甲光向日金鱗開。
角声満天秋色裏，塞上燕脂凝夜紫。
半巻紅旗臨易水，霜重鼓寒声不起。
報君黄金台上意，提携玉龍為君死。","黒雲が城を押しつぶさんばかりに迫っているが、太陽に向かう鎧の光は金色の鱗のように開いて輝いている。
秋の景色の中、角笛の音が空いっぱいに響き渡り、辺境の地は夜になると血のような燕脂（えんじ）色が赤紫色に凝り固まる。
紅い旗を半分巻き上げて易水に臨むが、霜が重く太鼓も凍え、その音は高くは響かない。
黄金台で受けた主君の厚意に報いるため、玉龍の剣を提げて主君のために死のう。",李贺代表作，人称“诗鬼”。全诗充满了极其浓烈、诡异的色彩感，悲壮而奇幻，生动描绘了边塞将士视死如归的战斗精神。
蝶恋花・庭院深深深幾許,欧陽脩,北宋,"庭院深深深幾許，楊柳堆煙，簾幕無重数。
玉勒雕鞍游冶処，楼高不見章台路。

雨横風狂三月暮，門掩黄昏，無計留春住。
涙眼問花花不語，乱紅飛過秋千去。","庭園は奥深く、一体どれほど深いのだろうか。楊柳は煙のように茂り、すだれや幕が幾重にもかかっている。
立派な馬に乗ったあの人は歓楽街で遊んでいるのだろう、この高い楼閣から見てもその道は見えない。
雨が横なぐりに降り風が吹き荒れる三月の終わり。黄昏時に門を閉ざすが、過ぎ行く春を引き留めるすべはない。
涙目で花に尋ねるが花は何も語らず、ただ乱れ散る赤い花びらがブランコの向こうへ飛んでいくだけだ。",欧阳修写闺怨的绝妙之作。“泪眼问花花不语，乱红飞过秋千去”极其极其生动地刻画了主人公内心的孤寂与绝望，被后人誉为神来之笔。
次北固山下,王湾,唐,"客路青山外，行舟緑水前。
潮平両岸闊，風正一帆懸。
海日生残夜，江春入旧年。
郷書何処達？帰雁洛陽辺。","旅の道は青山の外へと続き、進む舟は緑の川の前を行く。
潮は平らに満ちて両岸は広々と開き、風は順風で一枚の帆が高く掛かっている。
まだ夜が明けきらない残夜の中で海から太陽が昇り、古い年が明けないうちに川辺の春が入り込んでくる。
故郷への手紙はどこへ届けようか。北へ帰る雁よ、洛陽の辺りまで届けておくれ。",这是一首极其宏阔、清新的羁旅诗。“海日生残夜，江春入旧年”不仅对仗极其工整，更蕴含着极其生动的新旧交替、生生不息的自然理趣。
雨霖鈴,柳永,北宋,"寒蝉凄切，対長亭晩，驟雨初歇。
都門帳飲無緒，留恋処，蘭舟催発。
執手相看涙眼，竟無語凝噎。
念去去，千里煙波，暮靄沈沈楚天闊。

多情自古傷離別，更那堪，冷落清秋節！
今宵酒醒何処？楊柳岸，暁風残月。
此去経年，応是良辰好景虚設。
便縦有千種風情，更与何人説？","寒蝉がもの悲しく鳴いている。夕暮れの長亭で向かい合っていると、にわか雨がようやくやんだ。
都の門で別れの宴を開くが少しも楽しくない。名残を惜しんでいると、小舟が出発を急き立てる。
手を取り合い、涙目で見つめ合うが、言葉も出ずにただむせび泣くばかり。
これから千里の彼方へもやの波を越えて行くことを思えば、夕暮れの靄が重く沈む楚の空は広大だ。
（中略）今夜、酒から覚めるのはどこだろうか。柳の茂る岸辺、明け方の風が吹き、有明の月が残る場所だろう。
これから何年も、素晴らしい日や美しい景色があっても、すべて虚しいものになるだろう。
たとえ千種類の愛情があっても、一体誰に語ればよいというのか？",柳永婉约词的登峰造极之作。“今宵酒醒何处？杨柳岸，晓风残月”极其极其生动地描绘了离别后极其凄清、孤独的早晨，千古传诵。
鵲橋仙,秦観,北宋,"繊雲弄巧，飛星伝恨，銀漢迢迢暗度。
金風玉露一相逢，便勝却人間無数。

柔情似水，佳期如夢，忍顧鵲橋帰路。
両情若是久長時，又豈在朝朝暮暮。","細い雲が美しい形を作り、流星が恨みを伝えながら、遥か遠い天の川を密かに渡っていく。
秋の風と玉のような露が降りるこの夜のたった一度の逢瀬は、人間界の無数の平凡な逢瀬に勝っている。
優しい愛情は水のように柔らかく、素晴らしい逢瀬は夢のよう。カササギの橋を帰る道など、どうして振り返って見られようか。
もし二人の愛が永遠に続くものであるならば、どうして朝から晩までいつも一緒にいる必要があろうか（いや、離れていても心は結ばれている）。",借牛郎织女的故事抒发极其高洁的爱情观。“两情若是久长时，又岂在朝朝暮暮”打破了传统的伤别套路，升华了爱情的极其深远、永恒的意义。
